2026-07-24 17:34:18,437 | INFO | Dataset validation successful.
2026-07-24 17:34:18,438 | INFO | CSV file loaded successfully.
2026-07-24 17:34:19,887 | INFO | Text preprocessing completed.
2026-07-24 17:34:19,887 | INFO | Text preprocessing completed.
2026-07-24 17:34:19,887 | INFO | Text preprocessing completed.
2026-07-24 17:34:19,888 | INFO | Text preprocessing completed.
2026-07-24 17:34:19,888 | INFO | Text preprocessing completed.
2026-07-24 17:34:19,888 | INFO | Text preprocessing completed.
2026-07-24 17:34:19,888 | INFO | Text preprocessing completed.
2026-07-24 17:34:19,888 | INFO | Text preprocessing completed.
2026-07-24 17:34:19,894 | INFO | Text preprocessing completed.
2026-07-24 17:34:19,894 | INFO | Text preprocessing completed.
2026-07-24 17:34:19,895 | INFO | Text preprocessing completed.
2026-07-24 17:34:19,895 | INFO | Text preprocessing completed.
2026-07-24 17:34:19,896 | INFO | Text preprocessing completed.
2026-07-24 17:34:19,896 | INFO | Text preprocessing completed.
2026-07-24 17:34:19,896 | INFO | Text preprocessing completed.
2026-07-24 17:34:19,897 | INFO | Text preprocessing completed.
2026-07-24 17:34:19,897 | INFO | Text preprocessing completed.
2026-07-24 17:34:19,898 | INFO | Text preprocessing completed.
2026-07-24 17:34:19,898 | INFO | Text preprocessing completed.
2026-07-24 17:34:19,898 | INFO | Text preprocessing completed.
2026-07-24 17:34:19,898 | INFO | Text preprocessing completed.
2026-07-24 17:34:19,899 | INFO | Text preprocessing completed.
2026-07-24 17:34:19,899 | INFO | Text preprocessing completed.
2026-07-24 17:34:19,899 | INFO | Text preprocessing completed.
2026-07-24 17:34:19,899 | INFO | Text preprocessing completed.
2026-07-24 17:34:19,902 | INFO | DataFrame preprocessing completed.
2026-07-24 17:39:10,253 | INFO | Dataset validation successful.
2026-07-24 17:39:10,254 | INFO | CSV file loaded successfully.
2026-07-24 17:39:11,640 | INFO | Text preprocessing completed.
2026-07-24 17:39:11,641 | INFO | Text preprocessing completed.
2026-07-24 17:39:11,641 | INFO | Text preprocessing completed.
2026-07-24 17:39:11,641 | INFO | Text preprocessing completed.
2026-07-24 17:39:11,641 | INFO | Text preprocessing completed.
2026-07-24 17:39:11,641 | INFO | Text preprocessing completed.
2026-07-24 17:39:11,642 | INFO | Text preprocessing completed.
2026-07-24 17:39:11,642 | INFO | Text preprocessing completed.
2026-07-24 17:39:11,642 | INFO | Text preprocessing completed.
2026-07-24 17:39:11,642 | INFO | Text preprocessing completed.
2026-07-24 17:39:11,642 | INFO | Text preprocessing completed.
2026-07-24 17:39:11,642 | INFO | Text preprocessing completed.
2026-07-24 17:39:11,643 | INFO | Text preprocessing completed.
2026-07-24 17:39:11,643 | INFO | Text preprocessing completed.
2026-07-24 17:39:11,643 | INFO | Text preprocessing completed.
2026-07-24 17:39:11,643 | INFO | Text preprocessing completed.
2026-07-24 17:39:11,643 | INFO | Text preprocessing completed.
2026-07-24 17:39:11,644 | INFO | Text preprocessing completed.
2026-07-24 17:39:11,644 | INFO | Text preprocessing completed.
2026-07-24 17:39:11,644 | INFO | Text preprocessing completed.
2026-07-24 17:39:11,644 | INFO | Text preprocessing completed.
2026-07-24 17:39:11,644 | INFO | Text preprocessing completed.
2026-07-24 17:39:11,644 | INFO | Text preprocessing completed.
2026-07-24 17:39:11,644 | INFO | Text preprocessing completed.
2026-07-24 17:39:11,645 | INFO | Text preprocessing completed.
2026-07-24 17:39:11,645 | INFO | DataFrame preprocessing completed.
2026-07-24 17:39:11,791 | INFO | Text tokenized successfully.
2026-07-24 17:39:11,792 | INFO | Text tokenized successfully.
2026-07-24 17:39:11,792 | INFO | Text tokenized successfully.
2026-07-24 17:39:11,792 | INFO | Text tokenized successfully.
2026-07-24 17:39:11,792 | INFO | Text tokenized successfully.
2026-07-24 17:39:11,792 | INFO | Text tokenized successfully.
2026-07-24 17:39:11,793 | INFO | Text tokenized successfully.
2026-07-24 17:39:11,793 | INFO | Text tokenized successfully.
2026-07-24 17:39:11,793 | INFO | Text tokenized successfully.
2026-07-24 17:39:11,793 | INFO | Text tokenized successfully.
2026-07-24 17:39:11,793 | INFO | Text tokenized successfully.
2026-07-24 17:39:11,793 | INFO | Text tokenized successfully.
2026-07-24 17:39:11,794 | INFO | Text tokenized successfully.
2026-07-24 17:39:11,794 | INFO | Text tokenized successfully.
2026-07-24 17:39:11,794 | INFO | Text tokenized successfully.
2026-07-24 17:39:11,794 | INFO | Text tokenized successfully.
2026-07-24 17:39:11,794 | INFO | Text tokenized successfully.
2026-07-24 17:39:11,794 | INFO | Text tokenized successfully.
2026-07-24 17:39:11,794 | INFO | Text tokenized successfully.
2026-07-24 17:39:11,794 | INFO | Text tokenized successfully.
2026-07-24 17:39:11,794 | INFO | Text tokenized successfully.
2026-07-24 17:39:11,794 | INFO | Text tokenized successfully.
2026-07-24 17:39:11,794 | INFO | Text tokenized successfully.
2026-07-24 17:39:11,795 | INFO | Text tokenized successfully.
2026-07-24 17:39:11,795 | INFO | Text tokenized successfully.
2026-07-24 17:39:11,795 | INFO | DataFrame tokenization completed.
2026-07-24 17:39:11,795 | INFO | Word frequency calculated.
2026-07-24 17:39:12,554 | INFO | Keyword extraction completed.
2026-07-24 17:39:12,579 | INFO | News classification model trained successfully.
2026-07-24 17:39:12,592 | INFO | News classification completed.
2026-07-24 17:39:12,626 | INFO | Sentiment analysis completed.
2026-07-24 17:39:12,629 | INFO | Keyword trends generated.
2026-07-24 17:39:12,630 | INFO | Category trends generated.
2026-07-24 17:39:12,630 | INFO | Sentiment trends generated.
2026-07-24 17:39:12,631 | INFO | Daily news trends generated.
2026-07-24 17:39:12,631 | INFO | Overall trend summary created.
2026-07-24 17:39:13,518 | INFO | Category chart generated.
2026-07-24 17:39:13,602 | INFO | Sentiment chart generated.
2026-07-24 17:39:13,772 | INFO | Daily trend chart generated.
2026-07-24 17:39:13,982 | INFO | Word cloud generated.
2026-07-24 17:39:13,983 | INFO | Report generated successfully.
2026-07-24 17:39:13,986 | INFO | Data saved to data/processed_news.csv
2026-07-24 18:03:56,231 | INFO | Dataset validation successful.
2026-07-24 18:03:56,231 | INFO | CSV file loaded successfully.
2026-07-24 18:05:12,169 | INFO | Dataset validation successful.
2026-07-24 18:05:12,170 | INFO | CSV file loaded successfully.
2026-07-24 18:05:15,345 | INFO | Dataset validation successful.
2026-07-24 18:05:15,346 | INFO | CSV file loaded successfully.
2026-07-24 18:05:21,728 | INFO | Dataset validation successful.
2026-07-24 18:05:21,729 | INFO | CSV file loaded successfully.
2026-07-24 19:43:12,303 | INFO | Dataset validation successful.
2026-07-24 19:43:12,304 | INFO | CSV file loaded successfully.
2026-07-24 19:43:19,248 | INFO | Dataset validation successful.
2026-07-24 19:43:19,249 | INFO | CSV file loaded successfully.
2026-07-24 19:43:23,265 | INFO | Dataset validation successful.
2026-07-24 19:43:23,266 | INFO | CSV file loaded successfully.
2026-07-24 19:43:34,788 | INFO | Dataset validation successful.
2026-07-24 19:43:34,788 | INFO | CSV file loaded successfully.
2026-07-24 19:47:33,973 | INFO | Dataset validation successful.
2026-07-24 19:47:33,974 | INFO | CSV file loaded successfully.
2026-07-24 19:58:09,085 | INFO | Dataset validation successful.
2026-07-24 19:58:09,087 | INFO | CSV file loaded successfully.
2026-07-24 20:45:00,351 | INFO | Dataset validation successful.
2026-07-24 20:45:00,353 | INFO | CSV file loaded successfully.
2026-07-24 20:45:09,881 | INFO | Text preprocessing completed.
2026-07-24 20:45:09,882 | INFO | Text preprocessing completed.
