title,category,date,content,clean_content,tokens,keywords,predicted_category,sentiment,polarity
India Wins Cricket World Cup,Sports,2026-07-01,India defeated Australia in the World Cup final with an outstanding team performance.,india defeated australia world cup final outstanding team performance,"['india', 'defeated', 'australia', 'world', 'cup', 'final', 'outstanding', 'team', 'performance']","['australia', 'cup', 'defeated', 'final', 'india', 'outstanding', 'performance', 'team', 'world']",Sports,Positive,0.25
New AI Model Released,Technology,2026-07-02,A leading technology company launched a powerful artificial intelligence model for developers.,leading technology company launched powerful artificial intelligence model developer,"['leading', 'technology', 'company', 'launched', 'powerful', 'artificial', 'intelligence', 'model', 'developer']","['artificial', 'company', 'developer', 'intelligence', 'launched', 'leading', 'model', 'powerful', 'technology']",Technology,Negative,-0.15
Stock Market Rises,Business,2026-07-03,The stock market closed higher due to strong investor confidence and positive earnings reports.,stock market closed higher due strong investor confidence positive earnings report,"['stock', 'market', 'closed', 'higher', 'due', 'strong', 'investor', 'confidence', 'positive', 'earnings', 'report']","['closed', 'confidence', 'earnings', 'higher', 'investor', 'market', 'positive', 'report', 'stock', 'strong']",Business,Positive,0.14
Government Announces New Policy,Politics,2026-07-04,The government introduced a new policy to improve education and healthcare services.,government introduced new policy improve education healthcare service,"['government', 'introduced', 'new', 'policy', 'improve', 'education', 'healthcare', 'service']","['education', 'government', 'healthcare', 'improve', 'introduced', 'new', 'policy', 'service']",Politics,Positive,0.14
Blockbuster Movie Released,Entertainment,2026-07-05,A highly anticipated action movie was released in theatres and received positive reviews.,highly anticipated action movie released theatre received positive review,"['highly', 'anticipated', 'action', 'movie', 'released', 'theatre', 'received', 'positive', 'review']","['action', 'anticipated', 'highly', 'movie', 'positive', 'received', 'released', 'review', 'theatre']",Entertainment,Positive,0.16
Scientists Discover New Planet,Science,2026-07-06,Astronomers discovered a new Earth-like planet that may support life.,astronomer discovered new earthlike planet may support life,"['astronomer', 'discovered', 'new', 'earthlike', 'planet', 'may', 'support', 'life']","['astronomer', 'discovered', 'earthlike', 'life', 'new', 'planet', 'support']",Science,Positive,0.14
Medical Researchers Develop Vaccine,Health,2026-07-07,Researchers successfully developed a vaccine to prevent seasonal viral infections.,researcher successfully developed vaccine prevent seasonal viral infection,"['researcher', 'successfully', 'developed', 'vaccine', 'prevent', 'seasonal', 'viral', 'infection']","['developed', 'infection', 'prevent', 'researcher', 'seasonal', 'successfully', 'vaccine', 'viral']",Health,Positive,0.1
University Launches New Course,Education,2026-07-08,A university introduced a new artificial intelligence course for engineering students.,university introduced new artificial intelligence course engineering student,"['university', 'introduced', 'new', 'artificial', 'intelligence', 'course', 'engineering', 'student']","['artificial', 'course', 'engineering', 'intelligence', 'introduced', 'new', 'student', 'university']",Education,Negative,-0.23
Football Championship Begins,Sports,2026-07-09,The national football championship started with exciting opening matches.,national football championship started exciting opening match,"['national', 'football', 'championship', 'started', 'exciting', 'opening', 'match']","['championship', 'exciting', 'football', 'match', 'national', 'opening', 'started']",Sports,Positive,0.3
Startup Raises Funding,Business,2026-07-10,A technology startup secured significant funding from international investors.,technology startup secured significant funding international investor,"['technology', 'startup', 'secured', 'significant', 'funding', 'international', 'investor']","['funding', 'international', 'investor', 'secured', 'significant', 'startup', 'technology']",Business,Positive,0.19
Cybersecurity Threat Detected,Technology,2026-07-11,Experts warned organizations about a newly discovered cybersecurity threat.,expert warned organization newly discovered cybersecurity threat,"['expert', 'warned', 'organization', 'newly', 'discovered', 'cybersecurity', 'threat']","['cybersecurity', 'discovered', 'expert', 'newly', 'organization', 'threat', 'warned']",Technology,Positive,0.14
Election Campaign Starts,Politics,2026-07-12,Political parties officially started campaigning for the upcoming elections.,political party officially started campaigning upcoming election,"['political', 'party', 'officially', 'started', 'campaigning', 'upcoming', 'election']","['campaigning', 'election', 'officially', 'party', 'political', 'started', 'upcoming']",Politics,Neutral,0.0
Music Festival Attracts Thousands,Entertainment,2026-07-13,Thousands of music lovers attended the annual international music festival.,thousand music lover attended annual international music festival,"['thousand', 'music', 'lover', 'attended', 'annual', 'international', 'music', 'festival']","['annual', 'attended', 'festival', 'international', 'lover', 'music', 'thousand']",Entertainment,Neutral,0.0
Space Mission Successful,Science,2026-07-14,The national space agency successfully completed its satellite launch mission.,national space agency successfully completed satellite launch mission,"['national', 'space', 'agency', 'successfully', 'completed', 'satellite', 'launch', 'mission']","['agency', 'completed', 'launch', 'mission', 'national', 'satellite', 'space', 'successfully']",Science,Positive,0.75
Hospital Introduces Robotic Surgery,Health,2026-07-15,A hospital introduced robotic surgery technology to improve patient care.,hospital introduced robotic surgery technology improve patient care,"['hospital', 'introduced', 'robotic', 'surgery', 'technology', 'improve', 'patient', 'care']","['care', 'hospital', 'improve', 'introduced', 'patient', 'robotic', 'surgery', 'technology']",Health,Negative,-0.1
Online Learning Growth,Education,2026-07-16,Online education platforms continue to grow among students and working professionals.,online education platform continue grow among student working professional,"['online', 'education', 'platform', 'continue', 'grow', 'among', 'student', 'working', 'professional']","['continue', 'education', 'grow', 'online', 'platform', 'professional', 'student', 'working']",Education,Positive,0.1
Tennis Player Wins Grand Slam,Sports,2026-07-17,A famous tennis player won another Grand Slam championship after an exciting final.,famous tennis player another grand slam championship exciting final,"['famous', 'tennis', 'player', 'another', 'grand', 'slam', 'championship', 'exciting', 'final']","['championship', 'exciting', 'famous', 'final', 'grand', 'player', 'slam', 'tennis']",Sports,Positive,0.33
Bank Introduces Digital Services,Business,2026-07-18,A leading bank launched secure digital banking services for customers.,leading bank launched secure digital banking service customer,"['leading', 'bank', 'launched', 'secure', 'digital', 'banking', 'service', 'customer']","['bank', 'banking', 'customer', 'digital', 'launched', 'leading', 'secure', 'service']",Business,Positive,0.2
Electric Cars Gain Popularity,Technology,2026-07-19,Electric vehicles are becoming increasingly popular due to environmental awareness.,electric vehicle becoming increasingly popular due environmental awareness,"['electric', 'vehicle', 'becoming', 'increasingly', 'popular', 'due', 'environmental', 'awareness']","['awareness', 'electric', 'environmental', 'increasingly', 'popular', 'vehicle']",Technology,Positive,0.31
Film Wins International Award,Entertainment,2026-07-20,A regional film received an international award for outstanding storytelling.,regional film received international award outstanding storytelling,"['regional', 'film', 'received', 'international', 'award', 'outstanding', 'storytelling']","['award', 'film', 'international', 'outstanding', 'received', 'regional', 'storytelling']",Entertainment,Positive,0.25
Health Awareness Campaign,Health,2026-07-21,Doctors organized a health awareness campaign promoting regular medical checkups.,doctor organized health awareness campaign promoting regular medical checkup,"['doctor', 'organized', 'health', 'awareness', 'campaign', 'promoting', 'regular', 'medical', 'checkup']","['awareness', 'campaign', 'checkup', 'doctor', 'health', 'medical', 'organized', 'promoting', 'regular']",Health,Neutral,0.0
Research on Renewable Energy,Science,2026-07-22,Scientists presented innovative renewable energy solutions at an international conference.,scientist presented innovative renewable energy solution international conference,"['scientist', 'presented', 'innovative', 'renewable', 'energy', 'solution', 'international', 'conference']","['conference', 'energy', 'innovative', 'international', 'presented', 'renewable', 'scientist', 'solution']",Science,Positive,0.25
Scholarship Program Expanded,Education,2026-07-23,The government expanded scholarship opportunities for economically disadvantaged students.,government expanded scholarship opportunity economically disadvantaged student,"['government', 'expanded', 'scholarship', 'opportunity', 'economically', 'disadvantaged', 'student']","['disadvantaged', 'economically', 'expanded', 'government', 'opportunity', 'scholarship', 'student']",Education,Positive,0.3
Basketball League Finals,Sports,2026-07-24,The basketball league concluded with an exciting championship match.,basketball league concluded exciting championship match,"['basketball', 'league', 'concluded', 'exciting', 'championship', 'match']","['basketball', 'championship', 'concluded', 'exciting', 'league', 'match']",Sports,Positive,0.3
Economic Growth Forecast,Business,2026-07-25,Economists predicted steady economic growth during the next financial year.,economist predicted steady economic growth next financial year,"['economist', 'predicted', 'steady', 'economic', 'growth', 'next', 'financial', 'year']","['economic', 'economist', 'financial', 'growth', 'predicted', 'steady', 'year']",Business,Positive,0.09
